v_id,nom_district,v_nom,region
2,Port Louis,Abercrombie,N 
3,Rivière Noire - Black River,Albion,W 
4,Moka,Alma,C 
5,Rivière du Rempart,Amaury,N 
6,Rivière du Rempart,Amitié,N 
7,Rivière Noire - Black River,Anna,W 
8,Rivière du Rempart,Anse Bonsergent,N 
9,Grand Port,Anse Colas,S 
10,Moka,Anse Courtois,C 
11,Flacq,Anse Cunat,E 
12,Grand Port,Anse du Grand Sable,S 
13,Grand Port,Anse Fauverelle,S 
14,Grand Port,Anse Hercule,S 
15,Grand Port,Anse Jonchée,S 
16,Rivière du Rempart,Anse la raie,N 
17,Savanne,Anse St Martin,S 
18,Rivière du Rempart,Antoinette,N 
19,Flacq,Argy,E 
20,Pamplemousses,Arsenal,N 
21,Grand Port,Astroea,S 
22,Plaines Wilhems,Bagatelle,C 
23,Pamplemousses,Baie aux Tortues,N 
25,Rivière Noire - Black River,Baie de la Petite Rivière,W 
27,Savanne,Baie du Cap,S 
28,Savanne,Baie du Jacotet,S 
30,Pamplemousses,Baie du Tombeau,N 
31,Pamplemousses,Balaclava,N 
32,Rivière Noire - Black River,Bambous,W 
33,Grand Port,Bambous Virieux,S 
34,Plaines Wilhems,Bananes,C 
35,Moka,Bar le Duc,C 
36,Grand Port,Barachois Rochecouste,S 
37,Rivière du Rempart,Barlow,N 
38,Plaines Wilhems,Bassin,C 
39,Rivière du Rempart,Bassin Bernard,N 
40,Savanne,Bassin Blanc,S 
41,Rivière du Rempart,Bassin Goëmons,N 
42,Rivière du Rempart,Bassin Humbert,N 
43,Savanne,Baty Mare,S 
44,Plaines Wilhems,Beard,C 
45,Plaines Wilhems,Beau Bassin,C 
46,Moka,Beau Bois,C 
47,Flacq,Beau Champ,E 
48,Grand Port,Beau Climat,S 
49,Grand Port,Beau Fond,S 
50,Rivière du Rempart,Beau Manguier,N 
51,Flacq,Beau Rivage,E 
52,Rivière du Rempart,Beau Séjour,N 
53,Pamplemousses,Beau Plan,N 
54,Grand Port,Beau Site,S 
55,Grand Port,Beau Vallon,S 
56,Rivière Noire - Black River,Beaux Songes,W 
57,Flacq,Bel Air,E 
58,Flacq,Bel Etang,E 
59,Savanne,Bel Ombre,S 
60,Port Louis,Bell Village,N 
61,Rivière Noire - Black River,Belle Eau,W 
62,Rivière Noire - Black River,Belle Isle,W 
63,Flacq,Belle Mare,E 
64,Flacq,Belle Rive,E 
65,Flacq,Belle Rose (Est),E 
66,Plaines Wilhems,Belle Terre,C 
67,Grand Port,Belle Vue (Sud),S 
68,Pamplemousses,Belle Vue Harel,N 
69,Rivière du Rempart,Belle Vue Maurel,N 
70,Pamplemousses,Bellevue Pitot,N 
71,Rivière du Rempart,Belmont,N 
72,Flacq,Belvédère,E 
73,Savanne,Bénarès,S 
74,Plaines Wilhems,Bigara,C 
75,Grand Port,Blue Bay,S 
76,Savanne,Bois Chéri,S 
77,Moka,Bois Clair,C 
78,Grand Port,Bois des Amourettes,S 
79,Flacq,Bois d'Oiseaux (Flacq - Belle Mare),E 
80,Flacq,Bois d'Oiseaux (Trou d'Eau Douce - Bel Air),E 
81,Grand Port,Bois d'Oiseaux (Rose Belle),S 
82,Flacq,Bois Jacot,E 
83,Pamplemousses,Bois Mangues,N 
84,Pamplemousses,Bois Marchand,N 
85,Pamplemousses,Bois Pignolet,N 
86,Pamplemousses,Bois Rouge,N 
87,Savanne,Bois Sec,S 
88,Flacq,Bon Accueil,E 
89,Pamplemousses,Bon Air,N 
90,Savanne,Bon Courage,S 
91,Rivière du Rempart,Bon Espoir,N 
92,Flacq,Bonne Mère,E 
93,Moka,Bonne Veine,C 
94,Flacq,Bramsthan,E 
95,Flacq,Bras de Mer Delcourt,E 
96,Flacq,Bras d'Eau,E 
97,Flacq,Brisée Verdière,E 
98,Savanne,Britannia,S 
99,Pamplemousses,Butte aux Papayes,N 
100,Moka,Butte Chaumont,C 
101,Rivière Noire - Black River,Cachette,W 
102,Pamplemousses,Calebasses,N 
103,Rivière du Rempart,Calodyne,N 
104,Rivière Noire - Black River,Camp Benoît,W 
105,Grand Port,Camp Carol,S 
106,Flacq,Camp de Masque,E 
107,Flacq,Camp de Masque Pavé,E 
108,Savanne,Camp Diable,S 
109,Plaines Wilhems,Camp Fouquereau,C 
110,Flacq,Camp Ithier,E 
111,Flacq,Camp Marcellin,E 
112,Rivière du Rempart,Camp Pavé,N 
113,Grand Port,Camp Poule,S 
114,Plaines Wilhems,Camp Roche,C 
115,Pamplemousses,Camp Scipion,N 
116,Moka,Camp Thorel,C 
117,Plaines Wilhems,Candos,C 
118,Rivière Noire - Black River,Canot,W 
119,Port Louis,Cantin's Peak,N 
120,Pamplemousses,Canton Nancy,N 
121,Rivière du Rempart,Cap Malheureux,N 
122,Grand Port,Carreau Acacia,S 
123,Rivière Noire - Black River,Case Noyale,W 
124,Port Louis,Cassis,N 
125,Rivière Noire - Black River,Cascavelle,W 
126,Grand Port,Cent Gaulette,S 
127,Rivière Noire - Black River,Chamarel,W 
128,Savanne,Chamouny,S 
129,Port Louis,Champ de Mars,N 
130,Savanne,Château,S 
131,Pamplemousses,Chateau de Villebague,N 
132,Rivière Noire - Black River,Chebel,W 
133,Savanne,Chemin Grenier,S 
134,Flacq,Choisy,E 
135,Moka,Circonstance,C 
136,Rivière Noire - Black River,Clarence,W 
137,Flacq,Clemencia,E 
138,Grand Port,Cluny,S 
139,Rivière du Rempart,Coin de Mire,N 
140,Moka,Colline Alma,C 
141,Port Louis,Colline Monneron,N 
142,Savanne,Colmar,S 
143,Pamplemousses,Congomah,N 
144,Flacq,Constance,E 
145,Plaines Wilhems,Coriolis,C 
146,Plaines Wilhems,Coromandel,C 
147,Moka,Côte d'Or,C 
148,Rivière Noire - Black River,Coteau Raffin,W 
149,Rivière du Rempart,Cottage,N 
150,Savanne,Cratère Kanaka,S 
151,Pamplemousses,Crève Coeur,N 
152,Plaines Wilhems,Curepipe,C 
153,Moka,Dagotière,C 
154,Grand Port,Dalais,S 
155,Flacq,Deep River,E 
156,Pamplemousses,d'Epinay,N 
157,Grand Port,Deux Bras,S 
158,Moka,Dubreuil,C 
159,Grand Port,Eau Bleue,S 
160,Rivière Noire - Black River,Eau Bonne,W 
161,Rivière Noire - Black River,Eau Bouillie,W 
162,Plaines Wilhems,Eau Coulée,C 
163,Plaines Wilhems,Ebène,C 
164,Flacq,Ecroignard,E 
165,Flacq,Ernest Florent,E 
166,Moka,Espérance,C 
167,Rivière du Rempart,Espérance Trébuchet,N 
168,Flacq,F.U.E.L.,E 
169,Savanne,Fantaisie,S 
170,Grand Port,Ferney,S 
171,Flacq,Flacq,E 
172,Rivière Noire - Black River,Flic en Flac,W 
173,Plaines Wilhems,Floréal,C 
174,Pamplemousses,Fond du Sac,N 
175,Savanne,Fontenelle,S 
176,Rivière du Rempart,Forbach,N 
177,Plaines Wilhems,Forest Side,C 
178,Port Louis,Fort Adélaïde,N 
179,Port Louis,Fort George,N 
180,Port Louis,Fort Victoria,N 
181,Port Louis,Fort Williams,N 
182,Savanne,Frederica,S 
183,Grand Port,Fressange,S 
184,Plaines Wilhems,Galléa,C 
185,Pamplemousses,Ganachaud,N 
186,Plaines Wilhems,Glen Park,C 
187,Rivière du Rempart,Gokoola,N 
188,Rivière du Rempart,Goodlands,N 
190,Pamplemousses,Gowsal,N 
191,Rivière du Rempart,Grand Baie,N 
192,Plaines Wilhems,Grand Bassin,C 
193,Savanne,Grand Bois,S 
194,Rivière du Rempart,Grand Gaube,N 
195,Port Louis,Grand Glacis,N 
196,Grand Port,Grand Sable,S 
197,Flacq,Grande Retraite,E 
198,Rivière Noire - Black River,Grande Rivière Noire,W 
199,Port Louis,Grande Rivière Nord Ouest,N 
200,Flacq,Grande Rivière Sud Est,E 
201,Pamplemousses,Grande Rosalie,N 
202,Rivière Noire - Black River,Grandes Gorges,W 
203,Savanne,Gris Gris,S 
204,Grand Port,Gros Billot,S 
205,Grand Port,Gros Bois,S 
206,Rivière Noire - Black River,Gros Cailloux,W 
207,Rivière du Rempart,Haute Rive,N 
208,Moka,Helvetia,C 
209,Plaines Wilhems,Henrietta,C 
210,Moka,Hermitage,C 
211,Plaines Wilhems,Highlands,C 
623,Port Louis,Sorèze,N 
212,Grand Port,Ile aux Aigrettes,S 
213,Rivière Noire - Black River,Ile aux Bénitiers,W 
214,Flacq,Ile aux Cerfs,E 
215,Flacq,Ile aux Chats,E 
216,Grand Port,Ile aux Fous,S 
217,Flacq,Ile aux Lubines,E 
218,Grand Port,Ile aux Oiseaux,S 
219,Port Louis,Ile aux Tonneliers,N 
220,Port Louis,Ile Bakly,N 
221,Flacq,Ile Camisard,E 
222,Rivière du Rempart,Ile d'Ambre,N 
223,Grand Port,Ile de la Passe,S 
224,Flacq,Ile de l'Est,E 
225,Grand Port,Ile des deux Cocos,S 
226,Flacq,Ile Forancis,E 
227,Flacq,Ile Malino,E 
228,Grand Port,Ile Marianne,S 
229,Rivière du Rempart,Ile Plate,N 
230,Grand Port,Ile Vacoas,S 
231,Grand Port,Ilot Chat,S 
232,Flacq,Ilot des Roches,E 
